Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Guatemala,GTM,34.95,50.31,101.05,102.43,94.43,97.67,95.75,97.47,99.72,100.13,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Guinea,GIN,41.87,59.95,100.14,104.3,110.06,115.09,124.24,136.83,143.63,150.02,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Guinea-Bissau,GNB,49.32,66.45,101.55,104.57,105.68,109.52,115.72,121.08,126.14,127.5,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Guyana,GUY,33.43,58.84,112.19,94.67,105.54,106.77,107.89,109.88,97.56,105.61,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Haiti,HTI,65.2,60.11,98.69,98.58,93.07,88.06,77.02,68.09,74.27,72.06,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Honduras,HND,59.38,60.67,100.39,107.73,119.59,122.09,119.29,108.11,105.87,102.27,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Hong Kong SAR, China",HKG,235.01,111.7,98.82,100.48,101.06,101.45,101.16,100.87,101.47,101.49,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Hungary,HUN,100.81,75.55,92.61,105.24,98.17,95.47,93.81,90.38,85.88,62.75,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Iceland,ISL,51.91,74.9,100.47,117.73,111.79,82.85,109.87,102.84,101.66,117.58,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,India,IND,50.83,65.87,97.64,101.03,107.28,110.84,112.25,115.74,120.63,123.29,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Indonesia,IDN,47.83,61.34,101.32,98.98,108.58,112.99,107.87,108.22,108.64,111.41,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Iran, Islamic Rep.",IRN,53.12,68.84,99.46,101.96,95.01,84.62,92.36,81.94,84.35,77.41,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Iraq,IRQ,121.38,112.69,76.18,79,75.67,72.82,127.79,158.63,127.72,104.22,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Ireland,IRL,95.92,99.25,103.53,95.22,99.13,73.32,90.49,79.1,95.17,99.43,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Israel,ISR,100.12,89.58,97.89,99.21,97.34,92.34,96.15,93.42,94.81,99.92,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Italy,ITA,101.39,116.25,103.06,101.54,96.92,95.4,93.87,97.24,95.16,93.95,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Jamaica,JAM,95.5,103.35,97.31,102.39,99.28,102.89,100.47,97.61,104.45,111.66,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Japan,JPN,123.84,114.41,99.82,98.3,98.65,96.95,97.86,95.99,95.82,94.6,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Jordan,JOR,46.81,53.42,103.93,107.5,88.05,90.6,85.61,86.8,95.89,98.36,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Kazakhstan,KAZ,..,50.7,98.39,108.31,114.31,117.87,108.65,117.04,108.65,129.35,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Kenya,KEN,36.73,57.92,98.27,100.15,97.26,108.89,108.66,137.6,133.91,116.97,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Kiribati,KIR,40.51,54.72,90.19,120.2,120.15,107.65,92.88,92.85,92.93,95.75,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Korea, Dem. People's Rep.",PRK,102.05,88.44,98.36,97.58,93.93,90.72,102.42,93.99,93.76,92.58,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Korea, Rep.",KOR,101.46,116.57,97.64,96.92,96.22,97.18,97.12,90.26,95.82,93.62,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Kuwait,KWT,19.2,37.26,96.91,93.55,103.95,102.01,121.89,92.27,104.95,109.27,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Kyrgyz Republic,KGZ,..,81.96,103.82,105.74,107.3,109.29,110.09,109.04,97.94,106.82,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Lao PDR,LAO,19.92,32.29,103.79,105.77,97.29,99.09,98.73,102.2,104.6,113.65,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Latvia,LVA,..,50.24,112.14,105.64,107.8,71.02,106.48,117.21,100.47,105.2,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Lebanon,LBN,90.12,95.68,98.05,107.98,108.32,102.29,99.58,97.95,97.15,97.9,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Lesotho,LSO,128.16,114.17,102.87,82.89,149.5,132.65,86.25,87.47,119.14,107.64,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Liberia,LBR,60,88.41,97.33,112.21,94.53,99.78,106.06,108.58,111.76,115.6,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Libya,LBY,68.7,84.5,98.5,101.44,99.31,99.17,96.44,99.85,98.85,98.35,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Lithuania,LTU,..,67.78,108.63,100.28,102.91,76.2,94.54,117.67,99.34,105.08,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Luxembourg,LUX,..,112.82,105.53,85.77,90.01,103.18,92.85,89.56,86.94,96.39,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Macao SAR, China",MAC,41.65,76.37,99.97,99.61,99.61,99.66,101.69,102.03,102.6,103.18,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Madagascar,MDG,67.62,70.69,98.43,99.82,97.24,101.87,102.83,103.99,105.75,108.17,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Malawi,MWI,21.48,46.46,98.75,95.49,111.86,114.83,121.09,128.17,134.07,135.51,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Malaysia,MYS,55.16,70.16,104.44,94.36,106.57,102.78,103.03,101.74,97.74,97.93,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Maldives,MDV,127.24,138.21,99.75,102.18,101.42,100.61,108.02,108.65,94.11,93.7,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mali,MLI,23.28,36.19,96.9,113.91,115.23,125.08,128.69,126.5,126.74,133.12,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Malta,MLT,87.68,108.39,100.45,94.37,93.98,65.69,59.71,55.87,53.89,53.79,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Marshall Islands,MHL,..,19.33,90,126.67,126.67,80,90.04,90.04,90.04,90.84,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mauritania,MRT,36.5,61.67,96.41,94.67,111.63,122.02,105.19,116.02,140.7,145.03,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mauritius,MUS,124.02,121.94,99.95,96.67,95.77,83.33,88.44,70.56,74.1,67.76,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mexico,MEX,59.64,71.57,97.14,105,110.96,113.1,112.3,111.12,111.91,115.12,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Micronesia, Fed. Sts.",FSM,..,68.92,99.27,100.31,100.5,122.67,122.79,122.83,122.83,125.71,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Moldova,MDA,..,83.72,87.74,107.93,121.19,128.96,126.53,79.73,135.27,93.04,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mongolia,MNG,109.91,33.67,72.32,107.49,68.58,106.52,109.78,116.38,138.19,122.9,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Montenegro,MNE,..,..,101.61,111.05,100.94,104.35,92.76,94.2,96.94,89.55,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Morocco,MAR,54.26,50.6,110.39,87.66,107.35,117.05,108.12,93.14,118.58,106.83,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mozambique,MOZ,50.31,65.07,95.65,102.04,115.68,135.99,144.9,139.32,151.17,157.47,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Myanmar,MMR,36.71,63.28,100.9,99.24,97.07,100.45,98.16,96.55,98.9,94.24,..,..,,,,
